RBM5	CDC27	CREBBP
1   3.96    9.24	5.0
2   1.03    7.87	3.0
3   9.94    6.89	8.0
4   4.87    4.08	7.0
5   2.05    7.70	6.0
6   1.95    1.45	5.0
7   6.77    2.67	3.5
8   9.78    3.34	4.4
9   5.65    4.67	7.8
10  9.48    5.64	3.4
11  3.20    7.89	5.3
12  9.30    8.90	7.6
13  0.50    4.45	3.8
14  4.75    3.23	8.1
15  1.03    6.65	3.0
16  4.66    5.23	8.0
17  7.42    6.78	7.0
18  9.38    9.87	6.0
19  0.96    8.96	3.0
20  3.79    9.56	6.0
21  7.60    0.44	5.0
22  2.37    4.45	4.0
23  5.67    3.56	3.0
24  8.86    4.77	2.0
25  9.45    5.89	1.0
